groupV.NS1	groupV.NS2	groupV.NS3	AveExpr	F	P.Value	adj.P.Val
FBgn0016041	-0.0699375449873772	-0.228293804429662	0.257647730235527	5.88135593098178	13.5748364055153	1.06294107643883e-06	9.9949678093889e-05
FBgn0259834	-0.297126722568277	-0.931326336531853	-0.388686320937531	4.84262653191973	13.5376269490178	1.0963782726771e-06	0.000102030996571714
FBgn0038964	-0.0572723487387284	-1.8396849498541	0.428349476216999	5.08828272154795	13.5216367000591	1.11108057228512e-06	0.000102344125775692
FBgn0015038	0.173905903710575	-0.43654312329882	-1.01888708715293	5.44899513843964	13.4892356585379	1.14150169481094e-06	0.000104084199990488
FBgn0033204	-1.30975303474662	-1.08341430932207	-1.04771297981984	4.29861606202112	13.4771785586539	1.15304127010574e-06	0.000104085035452445
FBgn0032329	-0.0575761317243597	-2.35945579577088	-0.131287875809895	2.4190690848158	13.3904098582898	1.23973349137727e-06	0.000110802715115471
FBgn0019925	-0.590594228782786	-0.908971249763861	-0.311269264411396	6.73900532371541	13.3190116159462	1.31612468987385e-06	0.000116477035053836
FBgn0025390	-0.421220243574424	-0.635192563719438	-0.696832567263254	5.89535176291699	13.2659774143377	1.37601442387471e-06	0.000120594972857447
FBgn0022343	-0.224857824902902	-0.447561553862775	0.387197765128963	5.43674120950429	13.2422392916053	1.40372943846774e-06	0.00012184101577931
FBgn0035087	-0.668231960231324	-0.862176875300714	-0.600533392593992	7.00733744415212	13.1870952621188	1.47036758449544e-06	0.000126409601764194
FBgn0286788	-0.932114898176047	-2.51660291512485	0.0279065500848275	0.84958534595431	13.1540942572029	1.51180736608403e-06	0.000128351783926278
FBgn0012034	-1.42012752290129	-0.162657270097401	0.457598313066926	10.5643887921902	13.1443122161364	1.52432194555993e-06	0.000128351783926278
FBgn0036364	0.135901907198448	0.69612880375673	0.79588830823871	5.34053353674153	13.1248442241216	1.54954862793986e-06	0.000128351783926278
FBgn0031260	-1.08754310026085	-1.09561684185289	-0.0765972843377046	6.1265921925213	13.1246264787482	1.54983321679011e-06	0.000128351783926278
FBgn0003189	1.44181028978705	1.11067378719421	0.85982281088389	5.06737741946922	13.0782982934846	1.61163223085474e-06	0.000132256401344779
FBgn0039321	-0.337689293751903	-0.587615015846181	-0.363111160805853	7.67421840461701	12.9920235177704	1.73361680767674e-06	0.000139938270322594
FBgn0015513	-0.129650653324868	-0.771835301135547	-0.445131326492536	7.27976868650229	12.9813011709605	1.74943211059844e-06	0.000139938270322594
FBgn0263330	-0.811959106077286	-0.137363281583686	1.33340888890389	2.48036559430313	12.9797398437034	1.75174748492889e-06	0.000139938270322594
FBgn0030096	-0.114449627983265	-0.994534801878508	0.106597070035083	4.08038103423754	12.9430536196721	1.80707515379268e-06	0.000142441367826799
FBgn0003231	0.189491403727967	0.407040860500865	-0.126095527806199	8.24298142341045	12.934151056105	1.82077242796735e-06	0.000142441367826799
FBgn0053126	-0.238428971749718	-0.348122707210827	-0.878758777916146	5.64973045086032	12.9279223484102	1.83041970398899e-06	0.000142441367826799
FBgn0035076	0.368196677265198	-0.0466801204915081	0.698045690139371	6.19741444726973	12.9138450232597	1.85241887374989e-06	0.00014292124079778
FBgn0036337	-0.577800389028546	-1.11872755876565	-0.948635368748014	7.04564310711471	12.8176619277537	2.0102489601217e-06	0.00015378404544931
FBgn0024184	0.0283375970602362	2.7771083276572	0.967317800166619	1.38299215920886	12.8039776145881	2.03381116934006e-06	0.000154279104417081
FBgn0037543	-0.126469515407045	-1.02500840366199	0.0130112036491235	3.1767432894263	12.7447321379571	2.139171813095e-06	0.000159644304539657
FBgn0039679	-0.120472717930982	0.910668555584158	1.80542361230791	0.834274953389469	12.7366024006023	2.15406474118157e-06	0.000159644304539657
FBgn0002891	-0.149471498279442	-0.848621635949744	-0.636347520269686	3.32900199760893	12.7346841409732	2.1575944559475e-06	0.000159644304539657
FBgn0036749	-1.74191383889182	-3.08340361786317	-0.787546666693382	2.02941034939988	12.7193500790213	2.18602640054103e-06	0.000160433010712877
FBgn0027088	-0.457336555484238	-0.976879169489954	-0.128505139638958	5.59283321297614	12.6078294527103	2.40484115897097e-06	0.000174983439983455
FBgn0037936	-1.10798504393281	-1.35964745957158	-0.786074847062963	6.31862533564738	12.5990247659598	2.42305638616726e-06	0.000174983439983455
FBgn0027621	0.127191749048091	0.600476285013219	0.733622035317367	8.87050038203057	12.58715084687	2.44784794497639e-06	0.00017537082062938
FBgn0011824	-0.0650921410968042	-1.09003679040029	0.651799120757918	4.18288491077834	12.5547624102774	2.51681695492756e-06	0.000178892178363237
FBgn0010470	-0.628965951428054	-0.889961525092646	-0.367001647232734	6.68851934505218	12.481065644664	2.68135690726879e-06	0.000185052201807619
FBgn0014859	-0.790254066710375	1.35699150225026	1.05351182611485	4.8158604392445	12.4773740439626	2.68988650469216e-06	0.000185052201807619
FBgn0030218	0.874095069696551	0.875640075078664	1.46223728146285	6.23887708622999	12.4767947466665	2.69122754512443e-06	0.000185052201807619
FBgn0035630	-0.289958135120766	-1.0421228990261	0.236278790634908	7.1092941143688	12.4704887676455	2.70587042284334e-06	0.000185052201807619
FBgn0025839	0.146841941138169	1.00733892233135	1.11975836881778	5.76511529693503	12.470441274829	2.7059810167947e-06	0.000185052201807619
