groupS.NS1	groupS.NS2	groupS.NS3	AveExpr	F	P.Value	adj.P.Val
FBgn0061356	1.62407960137807	1.50130477986032	2.06494820239765	6.55234552952694	20.4006268630595	6.32391438327887e-09	3.17144306321435e-06
FBgn0040383	-1.09320289443845	-0.556124286122872	-0.518227191725945	4.94530206407833	20.300530358982	6.77418729530745e-09	3.21845203761791e-06
FBgn0034470	0.0607412915789455	0.110954294500902	-0.580447195999325	10.5433877190977	19.9822123643927	8.4403723444017e-09	3.76518566087025e-06
FBgn0039637	0.298759123625084	-0.176853131599454	-0.428903977359497	6.07976250516508	19.9288043039014	8.75915574147282e-09	3.76518566087025e-06
FBgn0034909	-1.25623028458188	-0.608686336760666	-0.291911263759631	6.61748170584796	19.8419046968439	9.30479658610167e-09	3.81792721739726e-06
FBgn0033458	1.84490657345894	0.16116251003929	-0.730916040870994	2.34183850133769	19.0366486353798	1.63962811915948e-08	6.1977429490863e-06
FBgn0051523	-0.714694871106817	-0.351265019052779	-0.351805011582618	7.61912967023634	19.0296668419354	1.64778808882321e-08	6.1977429490863e-06
FBgn0041194	1.60448355103315	0.964097883154165	0.999117442506157	7.62830832274869	18.9596622453734	1.73197249440213e-08	6.25380628278721e-06
FBgn0038914	-3.35083520384967	-1.42634359790548	-0.537617758780154	8.96125544393917	18.3865331588825	2.61351445305037e-08	9.07392114141756e-06
FBgn0015794	0.182068613427195	-0.0375200222996971	-0.529787494523509	5.66323424357148	18.0540157486097	3.32779270635942e-08	1.1125920281595e-05
FBgn0028427	-0.131737601014154	-0.0808734927145591	-0.343301809218815	5.67480125895293	17.4591659453972	5.15519436966115e-08	1.66199784196183e-05
FBgn0035076	0.368230748220032	0.672135354266532	0.837895349462311	6.20562209878641	17.3804668031333	5.4654525315863e-08	1.67271722853932e-05
FBgn0028480	0.435626425579316	0.634475311901202	0.610347001498427	8.98093840994828	17.3576334390215	5.55904695426827e-08	1.67271722853932e-05
FBgn0013770	0.530377563741137	-0.230074821151361	-0.735369614678682	9.41641032689116	17.0005707941814	7.25977023009056e-08	2.07302161773332e-05
FBgn0263330	-0.953715402209358	0.614953017645188	1.51482384895147	2.48893141588777	16.9843682060584	7.34869743740625e-08	2.07302161773332e-05
FBgn0032652	0.261326021089816	0.0226973710244845	-0.614409203422058	7.28439049110461	16.8286385765882	8.26327573180762e-08	2.26038151609174e-05
FBgn0044452	0.0563748136028912	-0.470951273116884	-0.936635121046258	7.30667964901413	16.7755269769693	8.60154720542273e-08	2.28371078303974e-05
FBgn0011695	-0.610820810390928	-0.280269852507164	-0.832253969831213	10.6932249389976	16.6336856396815	9.57717525055853e-08	2.43716124262425e-05
FBgn0024289	1.32835098075691	1.06457653542925	2.22110611260822	7.21714157482839	16.6142566896006	9.71948651096412e-08	2.43716124262425e-05
FBgn0036997	-3.17237534097865	-1.79953481652209	0.181833097861532	5.15252391109191	16.5471256364978	1.022830988107e-07	2.45435082958767e-05
FBgn0085359	1.79345615740542	1.19996832682016	0.505488080164488	6.03867929209766	16.5248577706636	1.04031276250813e-07	2.45435082958767e-05
FBgn0039679	-0.716721372486623	1.69465914199871	2.17203480664835	0.698168251507478	16.4997812831653	1.06037091341441e-07	2.45435082958767e-05
FBgn0034480	3.98441652693634	3.41943603104223	3.04149972381242	2.62133285147856	16.4275919832327	1.12038328947807e-07	2.47334116408689e-05
FBgn0050035	0.985698966218596	-0.25229997370399	-0.4927289782177	8.56057361738768	16.4240998395837	1.12337418552744e-07	2.47334116408689e-05
FBgn0259715	0.436476932096085	0.570934242369359	0.872277772571212	8.03935300489908	16.3642502117969	1.17594024982281e-07	2.51600299029986e-05
FBgn0270926	-2.44971063564025	-1.10340892344277	-0.340117587054045	6.29849530115591	16.3394161612335	1.19849483308844e-07	2.51600299029986e-05
FBgn0000286	0.444494763923996	0.154587942757531	0.383227499572694	6.25373213439322	16.2738651151203	1.26020960809695e-07	2.55178285933342e-05
FBgn0033093	1.77534896686814	0.579629926770801	0.683014144385183	4.83278565698381	16.2616440688973	1.27207520405455e-07	2.55178285933342e-05
FBgn0284081	-5.70475252027954	-1.84738512589323	0.109313961883258	0.516974084604273	16.1220960033754	1.41607676462519e-07	2.77889672918948e-05
FBgn0038303	-0.0121538630527639	-0.402417140814118	-0.368596710781074	5.03364193122648	16.0247216387319	1.52649303514403e-07	2.931840984733e-05
FBgn0038516	2.81275892538877	1.06945360271824	1.16537306447798	6.02348763651155	15.9264673734709	1.64698351867648e-07	3.09735837981095e-05
FBgn0260632	-0.743407127266856	-0.313427997822403	-0.391927287853055	6.08890562107307	15.7471041857906	1.89304034616054e-07	3.48744391934514e-05
FBgn0035968	0.696868874802345	0.47139237050647	-0.0814849119081334	5.17390517591152	15.6730172823839	2.00552641314869e-07	3.55641877619367e-05
FBgn0027621	0.131313648170499	0.515341245526226	0.870652245423686	8.8075713199227	15.6522216811873	2.03833005523946e-07	3.55641877619367e-05
FBgn0010591	-1.29711025037922	-1.03708173123434	-0.666011884956499	6.6773301940368	15.6457362993434	2.04867371620772e-07	3.55641877619367e-05
FBgn0050344	0.0098889754303018	-0.318238284541129	-0.521392940620387	5.869318916103	15.527803119485	2.24656561500157e-07	3.7899658810289e-05
FBgn0037534	-0.719891914592767	-0.316414695768022	-0.446281977299507	6.86667988019087	15.4956640606796	2.30386014974178e-07	3.7899658810289e-05
FBgn0034390	-1.95358614321958	0.392457247902863	1.21415005567625	6.69712534081684	15.4927315835772	2.30916277231184e-07	3.7899658810289e-05
FBgn0030336	0.154758244885217	0.256888321788783	0.507569861920209	6.98091511385376	15.3448486430155	2.59367069304859e-07	4.18090452609814e-05
FBgn0052626	0.78371987373802	0.132982773772129	-0.080271008122451	8.19389527072135	15.3223259503063	2.64009129573639e-07	4.18107089940569e-05
FBgn0039611	1.5043977941212	1.23410683028168	0.951065336369874	5.53161674658292	15.2621597970329	2.76836956308545e-07	4.30863311137454e-05
FBgn0031053	-0.447131771509341	0.576947841471319	1.13307099895485	2.36130376588201	15.0197279026626	3.35440924684089e-07	5.13224614766657e-05
FBgn0037447	-0.293940492911538	-0.277620001320258	-0.852893846661415	5.08084937497624	14.7488343011214	4.16389668226949e-07	6.24079533348093e-05
FBgn0035121	-1.50647197782459	-0.446127816621324	0.173176493020429	7.44477802965595	14.7329553475445	4.21722073050113e-07	6.24079533348093e-05
FBgn0032400	1.67307043515841	0.856055040344634	0.115625217423234	9.69900753573099	14.6775628780238	4.40884611004123e-07	6.41913771537777e-05
FBgn0031801	-1.56375922490309	-1.67886039306206	-0.624107420186876	5.41659884818392	14.6340605702906	4.56565559974479e-07	6.54193223792003e-05
FBgn0051436	0.188449027323215	-0.541364136256711	-0.908446751642424	3.92491094545451	14.519528831508	5.00676616103874e-07	7.06188720870261e-05
FBgn0036428	1.71698724334907	0.915652718377425	0.51894802521021	8.23888171223939	14.3458240181791	5.76189598534723e-07	8.00194385534299e-05
FBgn0003502	0.266847931447311	-0.364926875929336	-0.452934104854802	5.46487364622257	14.254620468846	6.20474523275795e-07	8.3808088848145e-05
FBgn0259236	1.60709949450683	-0.0516972958788686	-0.148998482870328	3.34650611328657	14.2515240317625	6.22038545787717e-07	8.3808088848145e-05
FBgn0028424	0.289863443032949	0.266155218351584	-0.43192772875394	5.07200588386077	14.2314800778158	6.32262179109392e-07	8.39328042767718e-05
FBgn0083984	-2.07119347309981	-1.31373468312725	-0.860466004743556	3.82335113648377	14.1800183281145	6.59316392027994e-07	8.55310674156536e-05
FBgn0037780	0.201017100741256	0.150074884208076	-0.213988866966428	5.46458748365372	14.1727152186967	6.63251879815637e-07	8.55310674156536e-05
FBgn0036257	0.320714950150046	0.134529689908872	-0.408152500849983	6.59514834214031	14.1405640084908	6.80869237591894e-07	8.65662902498877e-05
FBgn0034068	0.183830210627067	-0.120190158838056	-0.341761383595957	5.93859333305279	14.115804922009	6.94766285057311e-07	8.66449803529054e-05
FBgn0040340	-2.03171809248444	-0.128097650630368	0.551218323425821	6.14533101632072	14.0902981249726	7.0939080941231e-07	8.66449803529054e-05
FBgn0024293	-0.145013119063311	0.36169276507693	0.743471608734383	8.31391680575993	14.0887589856259	7.10283432603855e-07	8.66449803529054e-05
FBgn0039677	0.499149940596938	1.39188950468237	2.06635354994636	1.04781008673119	13.6976447130007	9.79559734404624e-07	0.000117899809632941
FBgn0027835	-1.15897566455575	-0.393716993357722	0.00130365498983504	8.72996674291704	13.6296157621735	1.03628889038969e-06	0.000123086576494049
FBgn0037301	-0.120960727765227	-0.684577383173517	-0.480783809375453	4.44143563689099	13.5830506435608	1.0770742123269e-06	0.000126269466424349
FBgn0037290	-0.101387519028162	0.0554347620100822	-0.568313365679104	6.71689790572458	13.4709173062872	1.18226332298464e-06	0.000136824243802337
FBgn0034971	-0.0235750320986595	-0.162032104184302	-0.284468655318872	6.31913048699194	13.4331419933714	1.2200519110555e-06	0.000139410235456936
FBgn0034475	-0.614501383000064	-0.79512528149422	-1.53630123814878	4.11146955361225	13.4146270057261	1.23902849675374e-06	0.00013980887800245
FBgn0031016	0.123648884535809	0.269138636244953	0.478686141124271	5.55543562970308	13.3490394553201	1.30874918968247e-06	0.000145852826361279
FBgn0030038	0.282447354417464	-0.096341109438212	-0.348788842287958	6.31195905773793	13.3136167488141	1.34808340787188e-06	0.000147946616493929
FBgn0035147	-0.650899858866143	0.362895014731882	0.858742293152319	7.19384528453382	13.3028190112871	1.36031562745055e-06	0.000147946616493929
FBgn0019982	0.340267845404417	0.818125487146458	0.924862706479711	6.32504972336923	13.2802376783976	1.38627021372812e-06	0.000148974538325283
FBgn0015038	0.540255248985965	-0.191583325913162	-0.827138886299935	5.4571355499748	13.2621838594883	1.40738994608742e-06	0.000149464812274484
FBgn0086687	0.211405158805747	0.786519216365139	0.943947324089292	12.0159611441892	13.2241403022033	1.45299313393085e-06	0.000152513593255742
FBgn0011296	-0.314249946403728	-0.544656884207312	-1.30167033110116	5.20208171333064	13.1544057082636	1.54060463886375e-06	0.000159851012356587
FBgn0037819	-2.00623617049533	-0.485510919105492	-0.357271026082633	7.04924167223476	12.8919687304431	1.92253628832006e-06	0.000194390197570921
FBgn0025833	0.166011978858903	0.297210876711484	0.470461264558142	5.79633820381421	12.8731891196523	1.95338188144917e-06	0.000194390197570921
FBgn0037467	-0.531369442975445	-0.326541861295669	-0.271952431265416	5.56935278845254	12.8703909646849	1.95802158269382e-06	0.000194390197570921
FBgn0052195	0.712802427759276	-0.318549268966269	-0.833533343022441	3.36786183841237	12.8694273513112	1.95962202048896e-06	0.000194390197570921
FBgn0031925	-1.81829953729609	-1.83420823772197	-1.94838437790682	3.13475500564425	12.8206830519451	2.04237496339119e-06	0.000200396943418829
FBgn0027556	-0.475067445340185	-0.818917313610842	-0.606495367186621	7.13949603894886	12.6616554986282	2.33845452494034e-06	0.000223329492442369
FBgn0052425	-1.50555042680594	-0.2675718949548	0.531769301750822	7.97803523748924	12.6589094817553	2.34394111742026e-06	0.000223329492442369
FBgn0086348	0.0654899881859916	-0.377105565194638	-0.754403229792929	4.27855250560554	12.6503468475733	2.36113524001563e-06	0.000223329492442369
FBgn0261444	0.17337175450575	0.385384262797208	0.602843363764692	7.56422305725657	12.6367303658047	2.38874740385309e-06	0.000223329492442369
FBgn0036975	-1.60366710847426	-0.823554544701059	-0.822105291990742	6.72801430415879	12.6313274473195	2.39979625201172e-06	0.000223329492442369
FBgn0029823	0.606600778034671	1.32979408708312	1.51993167810198	7.87521715104828	12.585222017775	2.49626269983194e-06	0.000229936361136561
FBgn0031865	-1.7862011815185	-1.93246699820365	-1.31914078330575	4.62423237572577	12.5087611133984	2.66519757616366e-06	0.000243017560808377
FBgn0032774	0.0793707396266304	0.0955927813082562	-0.342806174130118	9.08310223977674	12.4563758012815	2.78774439407431e-06	0.000251649686453088
FBgn0264560	-0.621003729382944	-0.232015780537397	0.0407999712034131	6.75904694673296	12.4134084879884	2.89261307349784e-06	0.000258530873410545
FBgn0036545	-0.307524752831871	-0.167780290867348	-0.384162948293819	4.31589642329739	12.3885268291261	2.95520209582424e-06	0.000261535385480446
FBgn0038966	0.446423725455306	-0.256456433916548	-0.54012621378569	5.57963871225032	12.3769170731045	2.98488469281166e-06	0.000261597612835056
FBgn0000064	-0.127676502713101	0.155262579233228	0.543463783952751	10.705046607108	12.3646899751016	3.01647988397278e-06	0.000261824653005983
FBgn0039801	-0.0325826009002316	0.510262105127982	1.26834262065496	6.43556309631522	12.3299498694201	3.10815464531997e-06	0.00026721249507908
FBgn0039008	-0.504025919771299	-0.298604478268667	-0.682844646400574	3.42088879294951	12.2888199221755	3.22043574557145e-06	0.000274253523351637
FBgn0040099	2.69609420700934	0.277922183164618	0.121428177082836	6.07113276151681	12.2148699947998	3.43300846618851e-06	0.000289623994619474
FBgn0039109	-0.505163845568862	-0.496604150434155	-0.480341634338857	5.48376754713252	12.1919237826492	3.5018845321992e-06	0.00029269918214965
FBgn0032004	-0.733102098526746	-0.482725491619486	-1.53062366863839	0.576097102960811	12.1710200112134	3.56587655574008e-06	0.000295313464850144
FBgn0027549	-0.0905659986893148	-0.369322164762275	-0.307506435334479	5.47879224665471	12.1267779714535	3.70534159596445e-06	0.000302400162280244
FBgn0286198	-3.30258919941743	-2.29047300284017	-1.06022745283039	5.19313069170904	12.1206818178648	3.72499708649989e-06	0.000302400162280244
FBgn0034053	-1.72541364607419	-0.537926059495666	0.061985544119832	3.77073766503116	12.1123775167367	3.75194618094465e-06	0.000302400162280244
FBgn0024491	0.408559727131649	-0.219516751156441	-0.585596942060545	3.10158476362145	12.0919736921974	3.81902214801996e-06	0.000305082415311294
FBgn0038810	-0.989439823900228	-0.405192859776532	-0.0817273282075935	5.32403898703754	12.0452929460257	3.97719676738154e-06	0.000314931186132922
FBgn0000047	-1.06733468223077	0.788686471176094	1.87682587299456	1.68208593046135	12.0266199293541	4.04235621125923e-06	0.000315268101306425
FBgn0011509	-1.20140767182119	-0.615894168574503	-0.33841806544099	4.45435222009786	12.0240807814679	4.05130162308024e-06	0.000315268101306425
FBgn0038878	0.316217157786816	0.681270915003068	0.635405441810708	5.67021649588361	12.0130192373898	4.09051140790233e-06	0.000315598687855849
FBgn0026369	0.193292044683208	-0.126373567836049	-0.247867369903491	6.64064155029488	11.9765539247999	4.22257795477216e-06	0.00032302721354007
FBgn0032484	0.809730391667184	0.220450207482851	0.0832307689573601	5.79865721590076	11.9660466030976	4.261446674172e-06	0.000323261169140761
FBgn0033879	-0.0458098229450415	0.463739335564476	0.826817307484936	7.09183589439202	11.9463944610078	4.33514232262402e-06	0.000326111081219392
FBgn0039697	0.352664512074939	1.0198757851441	1.29022954680052	7.32597474672006	11.8019871259943	4.91883717936767e-06	0.000366961514199603
FBgn0035540	0.319293040001991	-0.187322050397968	-0.388744147678849	4.86366500603469	11.7670231896269	5.07204120994416e-06	0.000373944881640135
FBgn0035771	-0.927785695274513	-0.221055236480705	0.0805694928457242	7.71474240415297	11.7618122696866	5.0952941665821e-06	0.000373944881640135
FBgn0040071	-0.0561335284916663	0.435395048212556	0.639121618034047	5.77278959179464	11.7365163282998	5.20975343691447e-06	0.000379261647379249
FBgn0001301	0.591167519085608	0.286645102146687	-0.0761415964839304	4.97331275487132	11.6742285372554	5.50309416866159e-06	0.000397411448484065
FBgn0031741	-0.806348155296506	-0.440725436618758	-0.683011976707558	3.04284427387472	11.6576430409844	5.58405200634881e-06	0.000397635942682428
FBgn0032246	0.0702086274233906	-0.127466678525052	-0.345067630745679	6.05650150558114	11.6555609438454	5.59430206277483e-06	0.000397635942682428
FBgn0033519	-3.06300111715514	-0.961183496622632	-0.147675941373172	1.14120946170228	11.6425823661333	5.65863598966099e-06	0.000398085470458511
FBgn0019952	0.142110534144115	-0.494966466730386	-0.784742119871603	5.76771400002078	11.636544664478	5.68882526743634e-06	0.000398085470458511
FBgn0034989	0.0892131844917992	-0.270564190584202	-0.294932874748806	6.06105250555801	11.6140053810685	5.80300693050455e-06	0.000402951873551266
FBgn0039789	-0.998677382692917	-1.42780159171024	-1.21085319559491	5.16780541724175	11.5213982417369	6.29764876781707e-06	0.000431940694403726
FBgn0052170	-0.78442880961536	-0.395781515290037	-0.355184584709786	4.42057034166292	11.5180766129797	6.31618163966898e-06	0.000431940694403726
FBgn0023174	-0.0296627805025626	-0.0863899340030643	-0.437619353099939	5.92809176185112	11.4508336503416	6.70376304917123e-06	0.000454002274542973
FBgn0030156	0.0799272973005484	0.359329677624674	0.56237592465752	4.14701438031206	11.444859075738	6.739371307052e-06	0.000454002274542973
FBgn0051548	0.0421413689810303	0.570074374175958	0.747173958248052	5.7083694120563	11.375976842467	7.16435113860056e-06	0.000479056279467757
FBgn0032297	1.48238763076713	0.407098492061892	-0.0633224359379494	7.09478170166487	11.3620694858738	7.25347225981973e-06	0.000481449221245535
FBgn0020389	-1.81579385988433	-0.0868482112939516	0.171969431361492	5.83995384621771	11.3444578228682	7.36798232705507e-06	0.000485480120192161
FBgn0003141	-0.186898086657425	-0.379574818364973	-0.38733549656727	5.67702146025289	11.3227044939617	7.51201169639388e-06	0.000491383547705417
FBgn0004888	0.0164013222205986	0.381288512114591	0.670106409622122	8.30648701962191	11.30850308683	7.60761073665878e-06	0.000494056849782869
FBgn0003390	1.97494221728264	-0.119630695840006	-0.394017966460202	4.32055297543436	11.268832786017	7.88139399954829e-06	0.000507495146172474
FBgn0038407	1.01908216690635	0.367056644389829	0.179901281484196	6.53496409810267	11.2623669368803	7.92697636095258e-06	0.000507495146172474
FBgn0259736	-0.351922989313747	-0.342576890430467	-0.561269136875143	7.2443739095689	11.2106180213409	8.3017780732241e-06	0.000522733899699271
FBgn0050033	-0.142693403150356	-0.974110493528074	-1.19808881006511	5.05375733380904	11.2097833944521	8.30797127887789e-06	0.000522733899699271
FBgn0040609	-4.36705661569472	-2.27515079098681	0.934349550291032	4.54298906336308	11.2056482335585	8.33872621653872e-06	0.000522733899699271
FBgn0036240	-0.205957392025453	-0.431085592374625	-0.682309407713352	3.30995091218453	11.1702729782491	8.6066968567475e-06	0.000532477435630461
FBgn0036734	0.103453782168254	0.0511109485836174	0.307578925556655	6.15157388435818	11.1602334577401	8.68436108364296e-06	0.000532477435630461
FBgn0035444	0.381523021385105	-0.232627379768943	-0.421262606214192	4.83310603404818	11.1553211448281	8.72262620379627e-06	0.000532477435630461
FBgn0033365	0.580988245249793	0.339764663533325	1.05727476938516	1.36449205250539	11.1543636200515	8.73010529226855e-06	0.000532477435630461
FBgn0039856	-0.0657164604748647	1.26118871990784	0.95923600491114	5.98779327006474	11.1328992131283	8.89951602136141e-06	0.000539167322985432
FBgn0031977	-0.313383656705942	-0.211993628132035	-0.437999635131167	4.50071851298638	11.1239680534005	8.97100650620462e-06	0.000539875171543394
FBgn0259213	0.42951846468242	0.158243108693085	0.321802580622529	5.77975318553791	11.1052917505627	9.12243267650332e-06	0.000545352316362884
FBgn0035041	0.375144867698	0.505951548680949	0.431357889140501	4.84087641140471	11.0951128768415	9.20607483978333e-06	0.000546392560919065
FBgn0032287	-0.19890760126543	0.737299807096699	1.0252782883352	6.56872530978673	11.0884938528432	9.260890863035e-06	0.000546392560919065
FBgn0034879	-1.17806934346706	0.245693705079747	0.836131737996751	3.85566443076313	11.0588845679282	9.51027406566083e-06	0.000556770462805355
FBgn0027932	0.899296778240186	-0.040857513898274	-0.307449933175519	7.53681320579985	11.0530600637334	9.56014420458957e-06	0.000556770462805355
FBgn0037222	0.427198202847303	1.16934249237791	2.00127449586916	2.12520692632377	10.9925312549378	1.00947256604443e-05	0.000584135182928403
FBgn0265042	-0.697285791604989	-1.24956897844219	-1.15267124189564	1.89991059090815	10.9551423118215	1.04403269121394e-05	0.000600285547999252
FBgn0030607	-0.938500527009451	0.303831999369566	1.02640908319495	6.02304160514329	10.9357930198375	1.06239713436607e-05	0.000606978413412819
FBgn0029969	-0.245300582500863	0.343447553784757	0.695808295817792	6.53116573992832	10.9041632958991	1.09314092914011e-05	0.000620615293543884
FBgn0001145	-0.72369623114915	-0.332017570197286	-0.354352101787353	10.4724301585901	10.8793646804542	1.1178887772942e-05	0.000623121345883406
