groupV.NS1	groupV.NS2	groupV.NS3	AveExpr	F	P.Value	adj.P.Val
FBgn0286786	2.11999673447135	-1.488155075515	0.42846385062752	3.73630171957484	21.6366736996116	2.11550520942145e-09	1.90966655254474e-05
FBgn0035630	0.786337566452652	-0.937012873018245	0.0903093101705203	7.06597860441429	16.9066750031702	6.45419540543001e-08	0.000224067847031028
FBgn0001168	-0.124896836805688	2.04784665157838	-0.0414748608306657	5.67805477332687	16.315229345089	1.02047751485838e-07	0.000224067847031028
FBgn0035121	0.562910096744866	-1.34777171152899	-0.178834753763474	7.29156323447468	16.0377581370283	1.26843272263425e-07	0.000224067847031028
FBgn0040340	0.670204267808021	-1.88483804041169	-0.298578261331018	5.95453249762205	15.9405386964285	1.36942423214068e-07	0.000224067847031028
FBgn0000492	-0.597573744827991	1.7183098692945	-0.228718213085008	3.57508273221706	15.8343322806109	1.48931769379214e-07	0.000224067847031028
FBgn0024184	-0.0152671975558924	2.9473143936403	0.335744954445598	1.31413030324576	15.4562670442989	2.0119664249431e-07	0.000259443165397536
FBgn0024558	0.854947979350495	-0.50150479425959	0.277873260822487	4.27385691988362	15.1839410761936	2.50371290125581e-07	0.000259443165397536
FBgn0029914	-0.222976694380614	0.526006410468116	-0.0870410922472727	4.35036973180996	15.0923011165804	2.69591383409543e-07	0.000259443165397536
FBgn0270926	0.780060089612188	-1.73786788929631	-0.184089613473084	6.05781573337713	15.0132031160831	2.87407959895354e-07	0.000259443165397536
FBgn0036460	1.05567192450309	-0.89144782934749	0.142790249966926	4.22773148128414	14.2055487418166	5.57093694731977e-07	0.000457171343849596
FBgn0038799	0.418808716122806	-0.740506025081008	0.586459540550397	5.90444785243349	14.0604616827192	6.28461020507203e-07	0.000472759802676543
FBgn0002780	1.14890088962148	-1.08858034395514	0.213661667011268	6.43457439967568	13.6240236167333	9.05944999514807e-07	0.000629074270047705
FBgn0029148	1.52643126983595	-1.23191139833002	0.375003421330848	3.83718383567293	13.4396886930098	1.05876456172482e-06	0.000659977213161222
FBgn0030305	0.662218140593094	-1.29907944741589	-0.0715297859495395	4.18790297832212	13.3982286919949	1.09667200591762e-06	0.000659977213161222
FBgn0030321	0.437075578227072	-0.830716877907187	-0.00349238984062518	6.05111720778803	13.193744183568	1.30527645951471e-06	0.000700850391460367
FBgn0036974	0.310294691596763	-0.38330537849451	0.105647198226554	7.1238772892186	13.1807312174877	1.3198689104715e-06	0.000700850391460367
FBgn0020389	0.769959867250345	-1.32973309282525	0.0517697344072401	5.70257220447437	13.0754359060768	1.44433676617858e-06	0.000724255060670364
FBgn0011824	0.995467728368436	-1.15386558849318	0.339571823653221	4.14723004639744	13.0125501239584	1.52440967682917e-06	0.000724255060670364
FBgn0266349	-0.897829044868864	-0.329737215439097	-0.80007928651426	2.04538705247553	12.8802793513152	1.70818390569506e-06	0.000767205952807308
FBgn0005322	0.19027435569387	-0.426163982201674	0.0984618663443377	5.14572103408336	12.8294377676215	1.784792844683e-06	0.000767205952807308
FBgn0027091	0.362193794774868	-0.61283145858875	-0.013864855571498	5.16708307116345	12.6145516041158	2.15001500413537e-06	0.000882190247378636
FBgn0013269	0.801983033200705	-0.785934449179263	0.161786626853695	5.05112066310347	12.3528300162063	2.70166680894191e-06	0.00106034549062255
FBgn0039175	0.606649724640909	-0.488224559945559	0.115160396345863	4.41688069966257	12.2441589136503	2.97200933962136e-06	0.00111784701286509
FBgn0011746	0.171739629701788	1.52200797710983	0.228170948242463	4.08996196394307	12.1877189452524	3.1233149665726e-06	0.00112776656813003
FBgn0050349	1.03936179404767	-0.615529275084379	0.257034650206354	4.47430159099207	11.9279596306707	3.92963466091555e-06	0.00132658210621799
FBgn0022288	1.03393197751776	-0.622962792656268	0.167748162348432	4.17562409683309	11.9121817728957	3.9850695465907e-06	0.00132658210621799
FBgn0024957	0.666444624696311	-1.37288015898715	0.562474852186033	8.52038290454894	11.868142255777	4.14412283982557e-06	0.00132658210621799
FBgn0030511	0.437281443057856	-0.938524120069104	-0.182542262943051	4.09997246634191	11.8125512626243	4.35432215527172e-06	0.00132658210621799
FBgn0034417	0.160289261964423	-1.16669691307119	-0.640141978892191	4.23369117649322	11.798618280905	4.40871421142569e-06	0.00132658210621799
FBgn0286051	0.650843878202597	-0.635533462852723	0.184217947367462	4.73791171852153	11.712946902506	4.75897855837229e-06	0.00138578385311054
FBgn0035484	-0.781091000865868	-0.655266543890872	-0.804135360030848	7.40655350735217	11.6591684837218	4.99344808840274e-06	0.00140862049668786
FBgn0003062	2.15357950299202	-0.624733106889462	0.495662363644716	4.89119542329383	11.5678999202924	5.41910854538319e-06	0.00143438614729883
FBgn0033226	0.12931165736711	0.702907500152209	0.198646298352665	6.37600585205506	11.5647505569425	5.43444970633838e-06	0.00143438614729883
FBgn0035827	0.253923706160886	-0.933790359615319	-0.218429335511905	3.97884749590301	11.4674384538773	5.93130601181176e-06	0.00143438614729883
FBgn0261479	0.855609984127562	-0.160446853243304	0.331715920129743	3.63686906407836	11.4623370750908	5.95861468560713e-06	0.00143438614729883
FBgn0027619	0.0155568410977497	-0.676253833050169	-0.129864090837375	6.69433607614356	11.4507050959061	6.02137050730834e-06	0.00143438614729883
FBgn0035791	-0.622492768072774	-2.12340677884399	-0.732235463670566	4.55289740789807	11.4442836568567	6.05630745007398e-06	0.00143438614729883
FBgn0037607	-0.961159664112505	-0.685106338791779	-0.787633671281631	9.10259788982025	11.4187918400743	6.19708205878523e-06	0.00143438614729883
FBgn0033485	1.14545223747013	-0.764573487061452	0.30887769615645	4.11137092143145	11.2744196578164	7.0608186153234e-06	0.00155620108592884
FBgn0000566	0.305369010693265	-0.802294559026254	-0.140767816266196	5.25350614645031	11.2732730723271	7.06815603446131e-06	0.00155620108592884
FBgn0033471	0.802757077605553	-0.689140881827034	0.242154660554698	2.94091607005705	11.2343043393899	7.32227913241649e-06	0.00157376699353151
FBgn0031183	0.39216008797465	-0.337827919221371	0.0307968439530107	5.04637033199222	11.1846458930015	7.65987412797376e-06	0.00159088171531572
FBgn0027835	0.477027085970257	-0.76335910861843	-0.0592975742952852	8.6307690625957	11.1667048336371	7.78576867778833e-06	0.00159088171531572
FBgn0032919	1.07888126370837	-0.473479682658621	0.263139242806159	5.67890923257492	11.146430370227	7.9306167263994e-06	0.00159088171531572
FBgn0039828	1.25801559028193	-0.527140803781327	0.277762935653003	3.75900182298418	11.1174849067686	8.14226150979163e-06	0.00159783031845411
FBgn0002733	0.29012797513792	1.62652272665534	0.515949222923505	2.61351691173346	11.0022756979021	9.04428846522285e-06	0.00173708068033121
FBgn0005674	0.259486228661041	-0.602410341774026	-0.0254160358958882	6.56620034486178	10.9182712736908	9.76673563386574e-06	0.00183675672014387
FBgn0051324	1.41666102595416	2.1059700831014	1.10531579513918	5.49482579241851	10.8392559563845	1.05008183484181e-05	0.00193450790267693
FBgn0021995	1.04014045952043	-0.587609497211255	0.366840295442902	4.39556213938757	10.7316134459781	1.15938189957059e-05	0.00209314808148474
FBgn0036058	-0.0568140084121614	0.349348193644221	0.12063108088256	6.70005185971822	10.5280839189528	1.39939165661104e-05	0.00246769488640358
FBgn0011509	0.570083097376924	-0.85747361969362	0.0351304215955361	4.27758681098964	10.5045896952199	1.43022972974785e-05	0.00246769488640358
FBgn0052103	-0.0877104788737352	0.968111840343185	0.118464589171204	7.02699199867681	10.4906549108855	1.44885154513559e-05	0.00246769488640358
FBgn0032117	-0.261035177918111	-1.0438085931975	-0.355823124579252	2.34339672016519	10.4696436606365	1.47740550316107e-05	0.00246972953278425
FBgn0046214	0.567999466701762	-0.260507602616668	0.211229397552565	6.57156001187967	10.4339586075046	1.52724209771507e-05	0.00250662080292253
FBgn0039404	0.497031766936298	-0.832288263518528	-0.130430171036473	2.48311934204702	10.4027764822863	1.57221305691581e-05	0.00253435129728197
FBgn0038183	0.832902831287402	-0.586310929685791	0.170701392855799	3.71818370774945	10.3396296888403	1.66752823103756e-05	0.00264083813010107
FBgn0040319	0.0506166578960692	0.685407659174796	0.199106624893243	6.70216240789471	10.221180610878	1.8627767398137e-05	0.00289918717763764
