baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000008	508.221699604113	0.206639517002776	0.112314545299788	5.54567701782128	0.235743513864381	0.381955460001531
FBgn0000017	2918.21711108055	0.250410657717183	0.0859761322927712	14.8607848762657	0.00499884139381548	0.0230503550014261
FBgn0000018	191.839872790152	-0.144423357796846	0.123478256088571	5.40783060975485	0.247950821171653	0.394205111038231
FBgn0000024	5690.4318018175	0.0823045918642159	0.0803007682153835	5.73457829030315	0.219866361957111	0.36418392993777
FBgn0000028	320.266939525338	0.215883137186823	0.118236703411388	6.68526710113031	0.153484978358396	0.282893881680181
FBgn0000032	312.193808809162	-0.338439737698165	0.116486414527336	10.0740330155768	0.0391989007942404	0.106534660680365
FBgn0000036	1700.64504931748	0.190531272307813	0.115100529086421	7.3580809833303	0.118132615441036	0.234601391227973
FBgn0000037	1898.2116554796	0.242630727189757	0.0684732736081008	16.4498331609735	0.0024713062218556	0.0137343610524119
FBgn0000038	7731.50508575576	0.134897454664257	0.0879252649400662	9.31131886458775	0.0537719824892091	0.134377837159408
FBgn0000039	809.784722898687	0.132182047647581	0.0755207066568057	5.16949766492257	0.270343901407997	0.41982160838165
FBgn0000042	21325.2813043658	0.0735100000923561	0.107239094856232	8.48206536757505	0.0754327213600984	0.170859658020464
FBgn0000043	588.306274618956	-0.408086690292583	0.142222927876758	9.86763663149259	0.0427173374514215	0.113510380789643
FBgn0000044	26177.5637515347	0.58689615972747	0.122276273786317	27.8554350429326	1.33432782702628e-05	0.000210139167732726
FBgn0000045	379.90199202731	-0.0528355318390971	0.382853054743455	10.1386937445885	0.0381550990480637	0.104242087135854
FBgn0000046	2655.15238681567	-0.157324662041176	0.127777461576836	3.22526100975119	0.520860548224921	0.654174751173513
FBgn0000047	69.3263842460291	1.83399286383682	0.358293998550512	32.3635029812073	1.61221164374988e-06	3.59764909603633e-05
FBgn0000052	2955.75711012989	0.401253706350826	0.207501979022389	10.7465137800343	0.0295655257984282	0.0863428170890021
FBgn0000053	5963.21554257322	0.561573631426484	0.205236233252204	11.6531491493281	0.0201258231773575	0.0645399532169418
FBgn0000057	714.177343451362	-0.231765579885168	0.0921364519070374	31.1276016748574	2.88328238542741e-06	5.98131959680389e-05
FBgn0000063	34.4850034808899	0.0594383315667697	0.237733274853453	2.81853425804223	0.588637624264787	0.709762950476408
FBgn0000064	34554.465497134	0.534407288835788	0.0969670556755569	36.425436190857	2.36540680110641e-07	6.95290911178641e-06
FBgn0000075	154.242221082608	0.406514661942037	0.191019122709671	18.2703988897059	0.00109261105244926	0.00730349787948305
FBgn0000077	247.049673200885	-0.156873579180811	0.116408188149755	6.27140407866142	0.179775766650892	0.315330649079901
FBgn0000078	169.139506485636	1.08910322818955	0.485506624180435	6.42797534171575	0.16938546873348	0.302800013837346
FBgn0000079	78.080052633953	1.88526293220698	0.700023509369194	9.297446972432	0.0540798350032638	0.134922983430869
FBgn0000083	5397.4149779859	-0.144440977461539	0.098426986024259	8.09343643339912	0.0882148429475556	0.191266396626319
FBgn0000084	2835.14382349531	0.530688924522058	0.186721055179457	9.80978473879918	0.0437566732253776	0.115577782411795
FBgn0000092	30.3714801372252	0.155232101259989	0.248967190014755	9.12014944967194	0.0581654829325239	0.141937619789912
FBgn0000097	1168.40394577744	0.216288034417896	0.0739529656278397	19.7725192766749	0.000553771601466749	0.00427114096721021
FBgn0000100	27839.8951230997	0.64151807455217	0.148817713478381	20.0093646200876	0.000497277934780362	0.00393634744162982
FBgn0000108	16245.050274063	0.22540027484505	0.0661509028197342	18.0462138007183	0.00120869527910601	0.00788655041054694
FBgn0000109	252.348614589976	-0.289401215814099	0.140259327098074	9.58607803437815	0.0480082700663046	0.124276141445305
FBgn0000114	1419.06121995376	0.213777136343724	0.103769724206339	9.77305361743242	0.0444290981296862	0.116854614258901
FBgn0000115	474.72480962886	-0.0732531187668032	0.0798657829797725	4.36267234085517	0.359142913305933	0.510861546291415
FBgn0000116	48237.3949382346	0.144361097585955	0.10211221162659	4.98246026662878	0.289101920926869	0.440759542903204
FBgn0000117	8007.87399524861	0.0243413980593154	0.054917423823718	1.41713600169976	0.841211295353885	0.892124894731867
FBgn0000119	999.640665081815	0.126412529344872	0.0646225258366561	16.9421579559134	0.00198361143058062	0.0117454787070601
FBgn0000120	95478.7699511919	-0.0582597944893068	0.085257462748064	2.60693323543887	0.625595423964447	0.73872979663114
FBgn0000121	85213.8262043654	-0.116230184366608	0.0971438187268366	1.70663587960121	0.78951185773382	0.857553563335338
FBgn0000139	554.07947956737	-0.214271913583296	0.0952191906415794	14.1021488190834	0.00697607486949949	0.0293000338788538
FBgn0000147	30.0285261885186	-0.0261353986570931	0.249143519286775	1.1763454452265	0.881977619234956	0.920643844531665
FBgn0000150	7155.29029949996	0.738913407794275	0.218669718538631	13.5167534148674	0.00900834794321644	0.0354674222685799
FBgn0000152	357.88576477404	-0.0474954677036684	0.12528034579577	5.63709871387368	0.227938652108175	0.373441974695746
FBgn0000153	1060.51302501398	-0.345717882687476	0.262446891051452	3.13414886752992	0.5356322062059	0.667121940234882
FBgn0000157	316.353139221758	0.595286335022195	0.158246842428992	14.0762008394065	0.00705578359328634	0.0295596059172776
FBgn0000163	1613.75815742593	0.0643991654842405	0.108725591368864	6.48418726886871	0.165789444003679	0.298738806447524
FBgn0000173	3128.02523169876	0.0287912094270497	0.0761176367341901	7.41158930485221	0.115671616075409	0.230882694860538
FBgn0000179	602.442046420271	0.530247282202031	0.118444811208218	23.0011359579181	0.000126560019816585	0.00134362072802925
FBgn0000180	160.500549186188	0.336331992278418	0.149799662691929	5.15323367229695	0.271933017995388	0.421708808109707
FBgn0000181	9182.52721564603	0.494453991994219	0.127433201904647	19.1508639425215	0.000734075701714924	0.00531218855836044
FBgn0000183	2449.77935942144	0.0402827936032646	0.0702557428755049	4.18091356301306	0.382075182928568	0.531746830775354
FBgn0000206	3731.74755872918	-0.120151258437718	0.0965161264464881	3.77762089337102	0.436937270726123	0.580182744413262
FBgn0000212	1844.05237389738	-0.0116932376976495	0.0575506585578859	1.73798222808944	0.783807095964621	0.853720607602262
FBgn0000221	104.198236039638	0.11847027541611	0.169669314395079	6.13631566014715	0.189196796431737	0.32732206499233
FBgn0000228	1466.48569545561	-0.076989099187765	0.0618214289406688	6.64053503545426	0.156148126720979	0.286398515351648
