baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000008	491.181673547393	0.222361205152355	0.121489403350307	7.61129126465471	0.106900772760349	0.185784608927817
FBgn0000017	2839.15681208632	0.247125813347511	0.0893617012097428	16.158577516583	0.00281359318398786	0.0100964924395588
FBgn0000018	188.46449509874	-0.155620803865454	0.113709697869595	2.14230719045935	0.709604255616036	0.778109212629071
FBgn0000024	5385.34446543766	0.141025497459607	0.0929364313607424	24.0414686014499	7.83604464384288e-05	0.000504064881758247
FBgn0000028	306.932365232855	0.036223670870081	0.134962409369147	0.539221416779469	0.969572153421276	0.976714888338767
FBgn0000032	305.266513108187	-0.46316806578098	0.115714509079728	16.1892788443982	0.00277541704460218	0.00999526689047672
FBgn0000036	1610.85442697483	0.121016805764001	0.118441887261571	2.2027804435138	0.69852026698222	0.769450340473513
FBgn0000037	1833.67053252	0.215216324169847	0.090971691981091	8.7716510785134	0.0670675514501518	0.129086084844875
FBgn0000038	7346.57402722711	0.0622790587940481	0.11007910596724	2.80565587000672	0.590856804173882	0.677226651977303
FBgn0000039	776.881000673005	0.100188989418173	0.0852073447611196	2.07526556343419	0.721917762618782	0.788205638475019
FBgn0000042	20953.709540317	0.0948244282569995	0.0969199675173025	15.5991925957074	0.00360695824703433	0.0123916247352436
FBgn0000043	565.62673461535	-0.354157246426827	0.121875822017254	12.9085429378903	0.0117314237212595	0.0322105564601055
FBgn0000044	25917.9164325069	0.75167093217983	0.123737952580482	49.5844820244226	4.40915750150784e-10	1.19139660033258e-08
FBgn0000045	337.255654208112	0.741474829425021	0.226282692026823	18.3884726532956	0.00103597337831468	0.00440398480418747
FBgn0000046	2598.08904994213	0.108714305919229	0.121924821109544	6.46137308452933	0.167240520661313	0.262390117673266
FBgn0000047	66.5149145681925	1.65550499984893	0.371350729652477	26.0308889026202	3.11940073206982e-05	0.000230586581030233
FBgn0000052	2953.88790954602	0.182056324361235	0.198645431066341	19.2654077085564	0.000696969202786598	0.00317523829134228
FBgn0000053	5895.76053192751	0.313879820160869	0.223966410910236	7.87208949279818	0.0963777036050693	0.171797111403466
FBgn0000057	697.324053401447	-0.426191285047838	0.0918844950873644	58.8948912313309	4.95094072051616e-12	1.88532658239065e-10
FBgn0000063	33.4849202767931	-0.276408839343649	0.240705400963001	2.13472388650877	0.710995930876793	0.77932974009535
FBgn0000064	33715.4239777355	0.430895169288041	0.0973129493328473	24.3483195361644	6.80068277046681e-05	0.000450222518224564
FBgn0000075	148.903244499464	0.744937380616978	0.195488779532492	28.9557475969985	7.98087669275465e-06	7.2902239020355e-05
FBgn0000077	237.05651140164	-0.0381792143488024	0.101962362470189	3.94097973641743	0.414052297693306	0.520738849872086
FBgn0000078	208.918223415197	0.488326051624671	0.615193389858983	19.9690013512903	0.000506485214633141	0.00244964044054882
FBgn0000079	129.618060525336	0.890735921998192	0.879807667055165	25.8845828986712	3.33863081360029e-05	0.000244769643320411
FBgn0000083	5375.98305273592	-0.143929365691775	0.104404461174791	14.3928942445274	0.00614113107475995	0.0191512466999684
FBgn0000084	2800.92088424474	0.607458269539005	0.178942021972512	21.7013483420112	0.000229802706962242	0.00124338694864163
FBgn0000092	29.6177131403712	-0.0471338055453565	0.264225775395074	3.30181923619648	0.508644067577053	0.606408548201177
FBgn0000097	1145.24873531103	0.186765611481042	0.0634430787402473	39.3823133531685	5.80796622741231e-08	9.53034458225384e-07
FBgn0000100	27829.765281282	0.482552235607196	0.146017621446995	19.610032468745	0.00059615745358152	0.00280159837342005
FBgn0000108	15624.6163629398	0.152299421313176	0.0746332635840328	4.86087717251303	0.301872521325275	0.410909752956386
FBgn0000109	246.079140952857	-0.476244352653858	0.148315196121652	16.117247035859	0.00286580400259783	0.0102390661613006
FBgn0000114	1373.70475088303	0.0602093722797054	0.0856575615651902	5.42815452218724	0.246117307805075	0.352069853057664
FBgn0000115	458.748992459716	-0.0346759655052101	0.0966336762992867	4.12323100951596	0.389585165030803	0.497806330794704
FBgn0000116	46305.2869237401	0.393030848129331	0.0952900811794847	19.333999419265	0.000675643577484012	0.00309370029771345
FBgn0000117	7806.10270261356	0.0867326901950551	0.0497808846931757	8.04793163142472	0.0898380934164318	0.162231424332033
FBgn0000119	974.684015471684	0.0766803260535791	0.066274577005058	21.3913901201529	0.000264816286849455	0.00140751883911444
FBgn0000120	91695.0746724629	0.0795884174161169	0.0782399308381522	2.66411261018447	0.615508888507597	0.699103489188091
FBgn0000121	83948.7573114444	0.0203206410991964	0.0851075887358431	4.25275727176245	0.372878262540896	0.481227844906562
FBgn0000139	536.570669832166	-0.135114532906708	0.0910187940883329	10.2893672953948	0.0358254627906917	0.0788789464957288
FBgn0000147	29.4489623031981	-0.289200011162398	0.269588151992602	3.0700134764482	0.546177948622212	0.639332812751682
FBgn0000150	7177.43346587538	0.566375024255066	0.205554379617395	11.9009379076347	0.0181033220089035	0.045919752987733
FBgn0000152	341.421863695379	0.150775183599472	0.112282465504562	5.89538980984594	0.207098021345905	0.308120613690536
FBgn0000153	1000.22658005457	0.176727681672185	0.215477023036901	0.836255799591527	0.933522439335855	0.949662606170703
FBgn0000157	313.559362081638	0.625154798492693	0.161109652723113	19.7107153548054	0.000569530099403672	0.00269816753129561
FBgn0000163	1572.09261777016	0.279509219562886	0.103521046437069	8.9465441253825	0.062449600360012	0.12217604926258
FBgn0000173	3026.68527284017	-0.0384549575475907	0.0718840633119888	2.86512796960699	0.580643593928242	0.669004013175333
FBgn0000179	580.864169148081	0.3423759506306	0.120090480729531	11.0569052109136	0.0259318676023012	0.0614005438703448
FBgn0000180	156.438200444114	0.425322159775372	0.170708763636027	10.5461156519463	0.0321676529322726	0.0723792240622689
FBgn0000181	8912.56497218373	0.543271627455974	0.118790686303303	23.6338280050035	9.45720767343237e-05	0.000589850029389959
FBgn0000183	2367.43330736322	0.0824947708822643	0.0728691557513331	4.32337915502922	0.364006695830581	0.4722772325864
FBgn0000206	3564.26099229297	-0.0757343894941206	0.101575735359677	7.56434205128801	0.108905320576145	0.188361540475221
FBgn0000212	1787.81033804394	-0.0274132676558676	0.0574765791537912	4.71237176827481	0.31810279030892	0.426899176494257
FBgn0000221	97.7189400194276	0.313779368158613	0.153121757237678	5.99073997871358	0.199840885549671	0.300393736190169
FBgn0000228	1420.74855292261	0.0463487537735219	0.0590498326987765	7.98998898586797	0.0919455997996037	0.165465411404072
FBgn0000229	1715.30333257716	-0.106855888680294	0.0781681243638262	5.30581773894426	0.257332805515311	0.364645716717802
FBgn0000239	2487.83605320446	-0.192271644802407	0.0934438055465561	11.6006661010711	0.0205815247678335	0.0510858803712038
