baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0000116	46687.2531479351	0.263035556348765	0.0847604588763839	15.4280354923262	0.00389101674309271	0.0424017440494269
FBgn0000117	7770.62164348346	0.0700271967497395	0.046471681191663	4.80212665119643	0.308209602443945	0.542126384054533
FBgn0000119	984.673548487648	-0.0527953952438307	0.0662004661987928	4.59474818010597	0.331460156335739	0.563716755240106
FBgn0000120	91965.1846773157	0.152352126664809	0.0710956157324177	5.5962002115657	0.231401927103033	0.468042947377419
FBgn0000121	82980.6021098965	0.151843546326646	0.085905996739881	7.37397591190529	0.117396544370341	0.324034573219207
FBgn0000139	537.77874149775	0.0951292483104528	0.101446173694869	0.887249809539753	0.926382873690963	0.95989350818943
FBgn0000147	29.6641984403862	-0.255869902303241	0.243826595585763	1.91180888710835	0.75197535654317	0.858761377305281
FBgn0000150	7112.95401911219	-0.144907094630803	0.161956129604637	10.5828164414045	0.0316751349418593	0.158817221347337
FBgn0000152	348.401463218346	0.202944402906808	0.102397871550817	6.78021339699205	0.14796889935292	0.367701288587552
FBgn0000153	1012.58576951047	0.57767574031551	0.246245143495072	6.61053708145516	0.157957538460393	0.380335642097347
FBgn0000157	311.43250458924	0.0597595292597805	0.140053154064019	5.90407075493954	0.206427783214699	0.437773930292871
FBgn0000163	1561.19716147875	0.219321950892146	0.109643968214491	6.85843086101863	0.143561327482953	0.361931784822209
FBgn0000173	3003.78319649933	-0.0798242448079316	0.0627211126955787	5.92522133040063	0.204802823710965	0.435993205124918
FBgn0000179	585.659963341125	-0.164909082622039	0.128892314597315	4.23426377792418	0.375229073710979	0.602972739464677
FBgn0000180	155.532794657828	0.110328328308285	0.161074310534461	6.23605927947267	0.182199172923996	0.410790389128739
FBgn0000181	8871.70286854914	0.0762369129562147	0.0856565370968899	2.86950059218259	0.579896237318395	0.752214455049436
FBgn0000183	2342.11036932135	0.036345241858486	0.070086035741031	0.889903511218222	0.926004836151486	0.959611994555514
FBgn0000206	3497.44085947828	0.0538290170882469	0.0973895564686402	2.67912370763349	0.612872606772528	0.774285848629028
FBgn0000212	1780.15095435533	-0.00185210689220527	0.0612369373255958	1.72705415465407	0.785797536303183	0.878355641511304
FBgn0000221	100.677229415252	0.205366050875466	0.153786511262079	5.90323577625503	0.206492166661464	0.437776978333268
