	A_V_0_5	A_V_1	A_V_2	A_V_3	A_V_4	A_V_5	A_V_6	A_V_8	A_V_12	A_V_24	B_V_0_5	B_V_1	B_V_2	B_V_3	B_V_4	B_V_5	B_V_6	B_V_8	B_V_12	B_V_24	C_V_0_5	C_V_1	C_V_2	C_V_3	C_V_4	C_V_5	C_V_8	C_V_12	C_V_24
FBgn0000044	10.3929095153482	10.3748892972944	10.6453419971752	10.4538142496801	10.4644224687762	10.2101451617781	10.3905965735094	10.2893746811999	10.1349371124253	10.4035516810291	10.3079674140046	10.5761552815786	10.6130452238319	10.6840966473458	10.5518154937528	10.3945417856288	10.2831438410512	10.035318747873	9.89839127786208	10.0211654256363	10.4184627409513	10.589574927059	10.6344848472804	10.4445282479521	10.5844080561528	10.4107312106274	10.3177661754358	10.2712917790653	9.95957653120052
FBgn0000045	3.96728575812336	3.97110270372449	4.20749234385745	4.24356792002184	4.15226319080183	3.86643503333028	3.74913398054613	4.05172654597231	3.80002810449461	3.947096623213	4.62479331205224	4.33976245594776	3.99774039693416	4.46309061826475	4.22540801342677	4.208148650151	4.06906003814597	4.08875250309309	5.12466095120376	3.48577972713668	4.19635405236238	4.12022151817999	3.92239925089546	4.15098700440566	4.23082389320415	4.22099776570318	4.0568314367467	4.14884257398402	3.45841854865541
FBgn0000047	1.52962970606031	1.72444811315527	1.82716686328351	1.72701501015803	1.92277493734441	1.62200908184526	1.0438207678103	0.291757788055615	0.397345064521055	2.46117075515013	1.89215725603237	1.80641302461975	1.68279434536901	1.95679292473638	2.22083036203521	1.77478798311354	2.11271829894371	1.45269303022594	1.43697056304259	2.2358015093721	1.5288188358007	1.34628361415867	1.5371359670837	1.07818131118631	1.55016259593702	1.74590773460838	1.70451861167815	2.4341571184019	1.60681943573949
FBgn0000052	7.48063078197264	7.20699034489587	6.63745021631792	7.11894581637451	7.20541786474711	7.17495943685823	7.16351639193797	7.4796299628306	7.13159186628979	7.11674744317678	6.79716811232389	7.14934636423834	6.74209602223802	6.7314003225644	6.85061750308749	7.29896180710713	7.09402554572332	7.27501498289008	7.0392695880486	7.62658444281829	7.66099595009671	7.62159253859387	7.34583322122586	7.28073870946763	7.25415215855039	7.29435883385001	7.24040456218863	7.06006104545452	7.63487751276567
FBgn0000064	10.754544633035	10.7444474805897	10.6922513948889	10.7795175904643	10.7379251610092	10.630741569532	10.5310128835706	10.6954151588238	10.4804494162665	10.7610692463099	10.6842247394377	10.9326487404156	10.7722240232071	10.7917745339102	10.6923486712818	10.8335137977133	10.8171950619763	10.6518686171189	10.4423026473059	10.7768671236381	10.9041301754259	11.0119858985037	10.7618569616455	10.8199841528838	10.7358167756547	10.694157304112	10.706587812557	10.6762814739811	10.6866034229928
FBgn0000075	2.68930324215063	3.12912973551574	2.90000538408175	2.8278308241166	2.91378153164019	3.09142865069692	2.93297753723913	3.3293653652843	3.49845266204598	3.04639203936375	3.0932171299654	3.17291354464389	2.91443276801874	2.96864243532373	3.03962997909682	2.79111005644468	2.72779898627712	3.08396757320308	3.24974651926553	3.1196598869056	2.55768418742783	2.43624674401635	2.83930830941965	2.91813748521969	2.63726350007343	2.55727037337452	3.18576242993682	3.21851746780945	2.90570270349203
FBgn0000084	7.06432929419525	7.15894246017901	7.19522661675163	7.23791106543194	7.34947336941779	7.16466515415317	7.07053289040553	7.18395791688468	7.17988444059001	7.20754653214804	7.00714740823459	7.32558018519523	7.14080158985367	7.35951644311768	7.31421446312931	7.43751875587048	7.36504862872205	7.11785790972364	6.94597016573902	7.016036604122	7.07483909341238	7.1683895297335	7.05652979097219	7.34524320806736	7.2531793089044	7.23324551124863	7.26526360764962	7.30970309303038	7.05623915684716
FBgn0000100	10.5285032496565	10.3826041241846	10.3776359325284	10.482174364192	10.5670492906114	10.3218301722011	10.3582128649286	10.7133770156297	10.4483435632928	10.4815852446868	10.576640413367	10.6378973056049	10.572871800975	10.4421831030544	10.5653458340347	10.6128640992471	10.6332031448992	10.2909862017762	10.2320593191018	10.6623022738812	10.5030495597853	10.4979435145841	10.3177024210467	10.3250226685269	10.5227235354674	10.5057733973425	10.451739756492	10.4342720139816	10.5968993041456
FBgn0000157	3.98621204305491	4.17440363956454	4.1747456518511	4.20291394529704	3.93401835180821	3.72226832167077	3.67698570003252	3.96195829908884	4.03783947593589	4.35985914157909	3.5144017774391	4.14887309220721	4.15432262588761	4.11534698102024	4.04428867377513	3.94682447463421	4.17108132326815	3.95077119987232	3.86054613375869	3.97803532006437	3.8206703665246	3.79668211579969	3.9117063057333	4.13223959640627	4.00903481893815	4.06495256935558	3.96539965222835	4.19863743449786	4.0125686381453
FBgn0000179	4.96272391929584	4.92982270143317	4.9566053490319	4.84461491733959	4.85350419187777	4.87929113706141	4.67167602827961	4.73273778306513	4.92366992792113	5.02918448051203	4.49506363018015	4.98491256249067	5.02787353078227	5.02994737863057	5.02677181113941	4.89396669159213	4.99144290863596	4.90688689896329	4.60577852485524	4.81053101469846	4.77577430771109	4.74473761008027	4.7078826394108	4.75472942402822	5.03888599672512	5.05172618758308	4.90348093846822	5.11096855984691	4.8014070350376
